,Title,Evaluat_Relev,Traffic_Relev,Ctrl_Relev,Topo_Relev,Relevance
0,Node to Node Performance Evaluation through RyuSDN Controller,1,1.5,0,1.0,0.9
1,SDN Controllers: A Comprehensive Analysis and Performance Evaluation Study,1,1.5,3,2.3333333333333335,1.7666666666666668
2,Evaluation and comparison of OpenDayLight and open networking operating system in software-defined networking,1,2.0,1,1.0,1.2
3,Performance Evaluation Using RyuSDN Controller in Software-Defined Networking Environment,1,1.0,0,1.0,0.8
4,Performance comparison of SDN OpenFlow controllers,1,1.0,3,1.0,1.4
5,Controller selection in software defined networks using best-worst multi-criteria decision-making,1,1.0,3,1.6666666666666667,1.5333333333333334
6,Detection and Analysis of TCP-SYN DDoS Attack in Software-Defined Networking,1,1.0,0,1.0,0.8
7,Performance Analysis of Various SDN Controllers in Mininet Emulator,1,1.0,3,3.0,1.8
8,Performance Analysis of Floodlight and RyuSDN Controllers under Mininet Simulator,1,1.0,1,3.0,1.4
9,A Comparative Performance Analysis of Stellar SDN Controllers using Emulators,1,1.5,3,2.3333333333333335,1.7666666666666668
10,OpenFlow data planes performance evaluation,1,1.5,1,1.6666666666666667,1.2333333333333334
11,Detection of DDoS Attacks in Software Defined Networking Using Entropy,1,1.0,0,1.0,0.8
12,Security analysis of SDN controller-based DHCP services and attack mitigation with DHCPguard,1,1.0,2,2.6666666666666665,1.5333333333333332
13,SDN Mininet Emulator Benchmarking and Result Analysis,1,1.5,0,1.0,0.9
14,Performance Evaluation of QoS metrics in Software Defined Networking using RyuController,1,1.5,0,1.0,0.9
15,Performance Comparison of Software-Defined Network Controllers,1,1.5,3,2.6666666666666665,1.8333333333333333
16,Practical Implications of Using Dockers on Virtualized SDN,1,1.5,0,1.0,0.9
17,Experimental Security Analysis of SDN Network by Using Packet Sniffing and Spoofing Technique on POX and RyuController,1,1.5,1,1.0,1.1
18,Experimental comparison and evaluation of various OpenFlow software defined networking controllers,1,1.0,3,3.0,1.8
19,Performance analysis of software defined network using intent monitor and reroute method on ONOS controller,1,1.0,0,1.6666666666666667,0.9333333333333333
20,Experimenting and evaluating the impact of DoS attacks on different SDN controllers,1,1.0,2,1.0,1.2
21,Performance Analysis of Ryu-POX Controller in Different Tree-Based SDN Topologies,1,1.0,1,2.6666666666666665,1.3333333333333333
22,Benchmarking of mainstream SDN controllers over open off‐the‐shelf software‐switches,1,1.0,2,1.6666666666666667,1.3333333333333335
23,Performance Analysis and Evaluation of Software Defined Networking Controllers against Denial of Service Attacks,1,1.5,2,1.0,1.3
24,Performance evaluation of Software-Defined Network (SDN) controllers using Dijkstra’s algorithm,1,1.5,1,1.0,1.1
25,A Novel Scheme for Controller Selection in Software-Defined Internet-of-Things (SD-IoT),1,1.0,3,1.6666666666666667,1.5333333333333334
