,Repeat tests,Demonstrable,Inferable,Verifiable,Repeatability
0,1,0,1,0,1
1,1,0,1,0,1
2,1,0,1,0,1
3,1,0,1,0,1
4,1,0,0,0,1
5,1,0,0,0,1
6,1,0,1,0,1
7,1,0,0,0,1
8,1,0,0,0,1
9,0,0,0,0,0
10,1,0,0,1,1
11,1,0,0,0,1
12,1,0,0,0,1
13,1,0,0,0,1
14,1,0,0,0,1
15,1,0,0,0,1
16,1,0,0,0,1
17,0,0,0,0,0
18,1,0,1,1,1
19,1,0,0,0,1
20,0,0,0,0,0
21,1,0,0,0,1
22,1,0,0,0,1
23,1,0,0,1,1
24,1,0,0,0,1
25,1,0,0,0,1
26,0,0,0,0,0
27,1,0,0,0,1
28,1,0,0,0,1
29,1,0,0,0,1
30,1,0,0,0,1
31,1,0,1,1,1
32,1,0,0,0,1
33,1,0,0,0,1
34,1,0,0,1,1
35,1,0,0,1,1
36,1,1,1,1,3
37,1,0,0,1,1
38,1,0,0,0,1
39,1,0,1,0,1
40,1,0,1,0,1
41,1,0,0,0,1
42,1,1,1,0,3
43,1,0,0,0,1
44,1,1,0,0,3
45,1,1,0,0,3
46,0,0,0,0,0
47,1,0,0,0,1
48,1,1,0,1,3
49,1,0,1,0,1
50,1,1,0,0,3
51,1,0,0,0,1
52,1,0,0,0,1
53,1,0,1,0,1
54,1,0,0,0,1
55,1,0,0,0,1
56,1,0,0,0,1
57,1,0,0,0,1
58,1,0,0,0,1
59,1,1,0,0,3
60,1,0,0,0,1
61,1,0,0,0,1
62,1,0,0,0,1
63,0,0,0,0,0
64,1,1,0,1,3
65,1,0,1,0,1
66,1,0,1,0,1
67,0,0,0,0,0
68,1,0,1,0,1
69,1,0,0,0,1
70,1,0,0,0,1
71,1,0,0,0,1
72,1,0,0,0,1
73,0,0,0,0,0
74,1,0,1,0,1
75,1,0,0,0,1
76,1,0,1,0,1
77,1,0,0,0,1
78,0,0,0,0,0
79,0,0,0,0,0
80,1,0,0,0,1
81,1,0,1,0,1
82,1,0,1,1,1
83,1,0,0,0,1
84,1,1,0,0,3
85,1,1,0,0,3
86,1,1,0,0,3
87,1,0,0,1,1
88,1,0,1,1,1
89,1,1,0,1,3
90,1,0,0,0,1
91,1,0,0,0,1
92,1,0,0,0,1
93,1,0,0,1,1
94,1,0,0,0,1
95,1,0,0,0,1
96,1,1,0,1,3
97,1,0,0,0,1
98,1,0,1,0,1
99,1,0,0,0,1
100,1,0,1,0,1
101,0,0,0,0,0
102,1,0,0,0,1
103,1,0,1,0,1
104,0,0,0,0,0
105,1,0,0,0,1
106,1,0,0,1,1
