Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type,Abstract
Simulation Design of Reinforcement-Based Migration System in Software-Defined Networking Using Q-Learning,Methods and Applications for Modeling and Simulation of Complex Systems,,,,10.1007/978-981-99-7240-1_27,Avinash Imanuel Gana RajTan Saw Chin,2024,http://link.springer.com/chapter/10.1007/978-981-99-7240-1_27,Chapter,
Crossfire Attack Detection in 6G Networks with the Internet of Things (IoT),Internet of Things. Advances in Information and Communication Technology,,,,10.1007/978-3-031-45878-1_19,Nicholas PerrySuman Bhunia,2024,http://link.springer.com/chapter/10.1007/978-3-031-45878-1_19,Chapter,
Survey of Intent-Based Networks and a Methodology Based on Machine Learning and Natural Language Processing,Proceedings of Eighth International Congress on Information and Communication Technology,,,,10.1007/978-981-99-3236-8_28,Remigio HurtadoCristian PicónArantxa MuñozJuan Hurtado,2024,http://link.springer.com/chapter/10.1007/978-981-99-3236-8_28,Chapter,
Federated Autonomous Orchestration in Fog Computing Systems,Proceedings of Eighth International Congress on Information and Communication Technology,,,,10.1007/978-981-99-3236-8_51,Manuel DworzakMarcel GroßmannDuy Thanh Le,2024,http://link.springer.com/chapter/10.1007/978-981-99-3236-8_51,Chapter,
Joint Dynamic Resource Allocation and Trajectory Optimization for UAV-Assisted Mobile Edge Computing in Internet of Vehicles,Cooperative Information Systems,,,,10.1007/978-3-031-46846-9_28,Runji LiHaifeng Sun,2024,http://link.springer.com/chapter/10.1007/978-3-031-46846-9_28,Chapter,
"Security and Energy Efficiency Enhancement for the Internet of Things: Challenges, Architecture and Future Research",Data Science and Network Engineering,,,,10.1007/978-981-99-6755-1_24,Ritu DewanTapsi NagpalSharik AhmadArun Kumar RanaSardar M. N. Islam,2024,http://link.springer.com/chapter/10.1007/978-981-99-6755-1_24,Chapter,
Large-Scale Deterministic Network Time Sensitive Traffic Scheduling Mechanism with Joint Routing and Queuing,"The 7th International Conference on Information Science, Communication and Computing",,,,10.1007/978-981-99-7161-9_25,Yi CaoJunhong WengQiong XuPeng Lin,2024,http://link.springer.com/chapter/10.1007/978-981-99-7161-9_25,Chapter,
Review of Software-Defined Network-Enabled Security,Computational Intelligence for Engineering and Management Applications,,,,10.1007/978-981-19-8493-8_33,Neelam GuptaSarvesh TanwarSumit Badotra,2023,http://link.springer.com/chapter/10.1007/978-981-19-8493-8_33,Chapter,
CPC-SDN: A Centralized Proactive Caching Based on Software Defined Network,"The 3rd International Conference on Artificial Intelligence and Computer Vision (AICV2023), March 5–7, 2023",,,,10.1007/978-3-031-27762-7_50,Sembati YassineNaja NajibJamali Abdellah,2023,http://link.springer.com/chapter/10.1007/978-3-031-27762-7_50,Chapter,
Analysis of Detection Systems in a Software-Defined Network,Intelligent Computing,,,,10.1007/978-3-031-37963-5_91,Oluwapelumi FakolujoAmna Qureshi,2023,http://link.springer.com/chapter/10.1007/978-3-031-37963-5_91,Chapter,
Load Balancing using Probability Distribution in Software Defined Network,Advances in Data-Driven Computing and Intelligent Systems,,,,10.1007/978-981-99-3250-4_14,Deepjyot Kaur RyaitManmohan Sharma,2023,http://link.springer.com/chapter/10.1007/978-981-99-3250-4_14,Chapter,
A Survey of the Security and DDoS Attacks in the Software Defined Network,Innovations in Smart Cities Applications Volume 6,,,,10.1007/978-3-031-26852-6_40,Abdoulkarim TahirouKarim Konate,2023,http://link.springer.com/chapter/10.1007/978-3-031-26852-6_40,Chapter,
The Impact of ICMP Attacks in Software-Defined Network Environments,Proceedings of International Conference on Computational Intelligence and Data Engineering,,,,10.1007/978-981-99-0609-3_22,Kamlesh Chandra PurohitM. Anand KumarArchita SaxenaArpit Mittal,2023,http://link.springer.com/chapter/10.1007/978-981-99-0609-3_22,Chapter,
Detection of UDP SYN Flood DDoS Attack Using Random Forest Machine Learning Algorithm in a Simulated Software Defined Network,ICT for Intelligent Systems,,,,10.1007/978-981-99-3982-4_44,V. MohanB. K. MadhaviS. B. Kishor,2023,http://link.springer.com/chapter/10.1007/978-981-99-3982-4_44,Chapter,
VANET Handoff from IEEE 80.11p to Cellular Network Based on Discharging with Handover Pronouncement Based on Software Defined Network (DHP-SDN),Hybrid Intelligent Systems,,,,10.1007/978-3-031-27409-1_89,M. SarvavnanR. Lakshmi NarayananK. Kavitha,2023,http://link.springer.com/chapter/10.1007/978-3-031-27409-1_89,Chapter,
Principles of Building Modular Control Plane in Software-Defined Network,Progress in Advanced Information and Communication Technology and Systems,,,,10.1007/978-3-031-16368-5_17,Oleksander RomanovMykola NesterenkoVolodymyr MankivskyiOleksandr Zhuk,2023,http://link.springer.com/chapter/10.1007/978-3-031-16368-5_17,Chapter,
Design of Virtual-Real Software-Defined Network for Cloud,Intelligent Computing and Networking,,,,10.1007/978-981-99-3177-4_26,J. Divya LakshmiP. Y. Mallikarjun,2023,http://link.springer.com/chapter/10.1007/978-981-99-3177-4_26,Chapter,
Development of DDoS Attack Detection Approach in Software Defined Network Using Support Vector Machine Classifier,Pervasive Computing and Social Networking,,,,10.1007/978-981-19-2840-6_25,Oluwashola David AdenijiDeji Babatunde AdekeyeSunday Adeola AjagbeAdemola Olusola AdesinaYetunde Josephine OgunsMatthew Abiola Oladipupo,2023,http://link.springer.com/chapter/10.1007/978-981-19-2840-6_25,Chapter,
Blockchain-Based Terminal Access Control in Software Defined Network,Mobile Internet Security,,,,10.1007/978-981-99-4430-9_20,Bingcheng JiangQian HeQi PanMingliu He,2023,http://link.springer.com/chapter/10.1007/978-981-99-4430-9_20,Chapter,
Experimental Study on Resource Allocation for a Software-Defined Network-Based Virtualized Security Functions Platform,Emerging Technologies in Data Mining and Information Security,,,,10.1007/978-981-19-4676-9_10,S. D. L. S. UwanpriyaW. H. RankothgeN. D. U. GamageD. JayasingheT. C. T. GamageD. A. Amarasinghe,2023,http://link.springer.com/chapter/10.1007/978-981-19-4676-9_10,Chapter,
Intruder Detection System Based Artificial Neural Network for Software Defined Network,I+D for Smart Cities and Industry,,,,10.1007/978-3-031-11295-9_23,Hernán Domínguez-LimaicoWillams Nicolalde QuilcaMarcelo ZambranoFabián Cuzme-RodríguezEdgar Maya-Olalla,2023,http://link.springer.com/chapter/10.1007/978-3-031-11295-9_23,Chapter,
Energy and Congestion Awareness Traffic Scheduling in Hybrid Software-Defined Network with Flow Splitting,Computational Collective Intelligence,,,,10.1007/978-3-031-41456-5_47,C. S. LimS. C. TanA. ImanuelJ. S. L. TehN. Q. Baderulhisham,2023,http://link.springer.com/chapter/10.1007/978-3-031-41456-5_47,Chapter,
A Model for Achieving Fault Tolerant Data Plane with Effective Load Distribution in Software-Defined Network,Congress on Smart Computing Technologies,,,,10.1007/978-981-99-2468-4_37,Chaitali Dey BhowmikTirthankar Gayen,2023,http://link.springer.com/chapter/10.1007/978-981-99-2468-4_37,Chapter,
A Model for Network Virtualization with OpenFlow Protocol in Software-Defined Network,Intelligent Communication Technologies and Virtual Mobile Networks,,,,10.1007/978-981-19-1844-5_57,Oluwashola David AdenijiMadamidola O. AyomıdeSunday Adeola Ajagbe,2023,http://link.springer.com/chapter/10.1007/978-981-19-1844-5_57,Chapter,
