Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Performance Evaluation of Various Open Flow SDN Controllers by Addressing Scalability Metric Based on Multifarious Topology Design on Software-defined Networks: A Comprehensive Survey","Proceedings of Third International Conference on Intelligent Computing, Information and Control Systems","","","","10.1007/978-981-16-7330-6_25","Sachin H. DarekarM. Z. ShaikhHarshal B. Kondke","2022","http://link.springer.com/chapter/10.1007/978-981-16-7330-6_25","Chapter"
"Network Resource Control System for HPC Based on SDN","Internet of Things, Smart Spaces, and Next Generation Networks and Systems","","","","10.1007/978-3-319-10353-2_19","Petr PolezhaevAlexander ShukhmanYuri Ushakov","2014","http://link.springer.com/chapter/10.1007/978-3-319-10353-2_19","Chapter"
"Evaluating the Performance of POX and RYU SDN Controllers Using Mininet","Data Science and Computational Intelligence","","","","10.1007/978-3-030-91244-4_15","Nafees M. KaziShekhar R. SuralkarUmesh S. Bhadade","2021","http://link.springer.com/chapter/10.1007/978-3-030-91244-4_15","Chapter"
"Integrating SDN-Enhanced MPI with Job Scheduler to Support Shared Clusters","Sustained Simulation Performance 2018 and 2019","","","","10.1007/978-3-030-39181-2_13","Keichi TakahashiSusumu DateYasuhiro WatashibaYoshiyuki KidoShinji Shimojo","2020","http://link.springer.com/chapter/10.1007/978-3-030-39181-2_13","Chapter"
"MSDN-TE: Multipath Based Traffic Engineering for SDN","Intelligent Information and Database Systems","","","","10.1007/978-3-662-49390-8_61","Khoa Truong DinhSławomir KuklińskiWiktor KujawaMichał Ulaski","2016","http://link.springer.com/chapter/10.1007/978-3-662-49390-8_61","Chapter"
"SDN-Enabled IoT Anomaly Detection Using Ensemble Learning","Artificial Intelligence Applications and Innovations","","","","10.1007/978-3-030-49186-4_23","Enkhtur TsogbaatarMonowar H. BhuyanYuzo TaenakaDoudou FallKhishigjargal GonchigsumlaaErik ElmrothYouki Kadobayashi","2020","http://link.springer.com/chapter/10.1007/978-3-030-49186-4_23","Chapter"
"SDN-Actors: Modeling and Verification of SDN Programs","Formal Methods","","","","10.1007/978-3-319-95582-7_33","Elvira AlbertMiguel Gómez-ZamalloaAlbert RubioMatteo SammartinoAlexandra Silva","2018","http://link.springer.com/chapter/10.1007/978-3-319-95582-7_33","Chapter"
"QoS for SDN-Based Fat-Tree Networks","Advances in Information and Communication","","","","10.1007/978-3-030-12385-7_49","Haitham GhalwashChun-Hsi Huang","2020","http://link.springer.com/chapter/10.1007/978-3-030-12385-7_49","Chapter"
"Comprehensive SDN Testing Based on Model Network","Internet of Things, Smart Spaces, and Next Generation Networks and Systems","","","","10.1007/978-3-319-46301-8_45","Andrei VladykoAmmar MuthannaRuslan Kirichek","2016","http://link.springer.com/chapter/10.1007/978-3-319-46301-8_45","Chapter"
"What You Need to Know About SDN Flow Tables","Passive and Active Measurement","","","","10.1007/978-3-319-15509-8_26","Maciej KuźniarPeter PerešíniDejan Kostić","2015","http://link.springer.com/chapter/10.1007/978-3-319-15509-8_26","Chapter"
